E,j
0.0579771959265553,18.854365284308983
0.058648083149981101,20.316123600774521
0.058648083149981101,28.826339328854036
0.059318970373406901,29.797516119137185
0.059318970373406901,34.423050291883897
0.059989857596832501,34.903645555984781
0.059989857596832501,38.307731847216814
0.060660744820258197,38.808325241280158
0.060660744820258197,40.75065321604643
0.061331632043683998,41.000821884077141
0.061331632043683998,42.462580200542561
0.061974565632800502,42.702762606492122
0.061974565632800502,43.433628961824873
0.066669925433997301,43.675603773788907
0.070668031514752302,-51.706053212047209
0.0706681459030256,-52.681762228967273
0.071337324451617695,43.437213773853841
0.072679113197003195,43.437213773853841
0.072679113197003195,43.186789047821208
0.074663856979306498,43.186789047821208
0.075334744202732506,42.94660664187154
0.0773474344700779,42.94660664187154
0.0773474344700779,42.706424235921993
0.077990368059194196,42.706424235921993
0.078661255282619996,42.466241829972319
0.080003044028005704,42.466241829972319
0.080003044028005704,42.216073161941722
0.087327003456076205,42.216073161941722
0.087327003456076205,42.466241829972319
0.088668799350729105,42.466241829972319
0.088668799350729105,42.706424235921993
0.0899826416110725,42.706424235921993
0.090653528834497996,42.94660664187154
0.091995324729150896,42.94660664187154
0.092666211952576696,43.186789047821208
0.093337099176002303,43.186789047821208
0.093337099176002303,43.437213773853841
0.094678887921388205,43.437213773853841
0.094678887921388205,43.677396179803402
0.095321821510504195,43.677396179803402
0.095321821510504195,43.917578585753063
0.095992708733929996,43.917578585753063
0.095992708733929996,44.16800331178581
0.096663595957356005,44.16800331178581
0.096663595957356005,44.408185717735478
0.097334483180781597,44.408185717735478
0.097334483180781597,44.898767243917518
0.098005370404207398,44.898767243917518
0.098005370404207398,45.37936250801863
0.098648303993323694,45.37936250801863
0.098648303993323694,45.619544913968298
0.099319191216749397,45.619544913968298
0.099319191216749397,46.110126440150452
0.099990078440175198,46.110126440150452
0.099990078440175198,46.35030884610012
0.100660965663601,46.35030884610012
0.100660965663601,46.600477514130723
0.1013318528870266,46.600477514130723
0.1013318528870266,47.081072778231714
0.1020027401104526,47.081072778231714
0.1020027401104526,47.321255184181268
0.1026456736995689,47.571423852211979
0.1026456736995689,48.05199351051283
0.1033165609229944,48.05199351051283
0.1033165609229944,48.542575036695098
0.1039874481464204,48.542575036695098
0.1039874481464204,49.033182168677399
0.1046583353698462,49.033182168677399
0.1046583353698462,49.51375182697825
0.10532922259327181,49.51375182697825
0.10532922259327181,50.004333353160519
0.1060001098166973,50.004333353160519
0.1060001098166973,50.484903011461483
0.1066709970401231,50.484903011461483
0.1066709970401231,50.735327737494117
0.10731393062923961,50.975510143443785
0.10798481785266539,51.215692549393339
0.10798481785266539,51.4661172754262
0.108655705076091,51.4661172754262
0.108655705076091,51.706299681375761
0.10932659229951699,51.946482087325307
0.10932659229951699,52.437089219307609
0.1099974795229425,52.437089219307609
0.1099974795229425,53.408240403790842
0.1106683667463683,53.408240403790842
0.1106683667463683,54.869998720256262
0.1113113003354846,55.110181126205816
0.1113113003354846,56.321642745639451
0.1119821875589106,56.572067471672369
0.1119821875589106,57.783529091105997
0.1126530747823362,58.033953817138872
0.1126530747823362,59.005105001621928
0.113323962005762,59.245543465573753
0.113323962005762,60.456979479207291
0.1139948492291875,60.707404205239982
0.1139948492291875,61.678580995523305
0.11466573645261351,61.918763401472859
0.11466573645261351,62.889940191756182
0.11533662367603929,63.140364917788872
0.11533662367603929,64.60212323425435
0.1159795572651556,64.842305640204017
0.1159795572651556,66.304063956669438
0.1166504444885812,66.544246362618992
0.1166504444885812,68.246289508234895
0.1173213317120069,68.496714234267756
0.1173213317120069,69.708150247901301
0.1179922189354327,70.198757379883659
0.1179922189354327,71.650503828467834
0.1186631061588585,71.900672496498373
0.1186631061588585,73.352418945082547
